Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,no,no,565862,512MB,100,369.158,6.977,100.718,20.917971589839997
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,no,no,565862,5120MB,100,352.129,7.265,88.365,26.575311876399997
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,no,yes,565862,1024MB,100,385.354,6.678,91.016,21.50258917958
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,no,yes,565862,128MB,100,387.305,51.69,435.995,21.012811730705
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,no,yes,565862,1769MB,100,387.493,6.484,89.484,22.410526272628186
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,no,yes,565862,256MB,100,385.397,18.361,145.927,20.747628404795
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,no,yes,565862,512MB,100,385.666,7.13,95.457,20.88392008625
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,no,yes,565862,5120MB,100,368.77,6.85,86.987,26.455831278999995
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,yes,no,1517865,1024MB,100,311.039,5.91,92.726,21.515153242399997
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,yes,no,1517865,128MB,100,308.976,48.081,527.966,21.160082967057498
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,yes,no,1517865,1769MB,100,311.53,6.298,91.45,22.45151291766455
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,yes,no,1517865,256MB,100,309.205,16.464,158.279,20.782478245709996
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,yes,no,1517865,512MB,100,310.862,6.075,98.588,20.8977501554
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,yes,no,1517865,5120MB,100,295.093,6.701,88.079,26.5186782599
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,yes,yes,1517865,1024MB,100,329.698,6.417,90.14,21.48742910378
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,yes,yes,1517865,128MB,100,328.055,46.087,467.873,21.05660494967
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,yes,yes,1517865,1769MB,100,329.487,5.93,91.724,22.449368455119373
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,yes,yes,1517865,256MB,100,330.189,15.246,139.455,20.71566991167
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,yes,yes,1517865,512MB,100,328.148,6.609,95.755,20.8824300788
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,yes,yes,1517865,5120MB,100,312.297,6.39,87.006,26.426397798499995
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,no,no,565860,1024MB,100,368.455,8.162,85.578,21.76234145801
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,no,no,565860,128MB,100,364.309,80.03,118.697,20.61401436969375
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,no,no,565860,1769MB,100,370.489,7.802,86.982,22.929047862056162
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,no,no,565860,256MB,100,368.658,29.893,88.495,20.6932855699025
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,no,no,565860,512MB,100,364.275,13.176,85.24,21.020132473594998
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,no,no,565860,5120MB,100,358.013,8.952,89.905,28.43805814275
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,no,yes,565860,1024MB,100,400.106,7.795,84.566,21.73935641204
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,no,no,yes,565860,128MB,100,398.031,81.192,120.91,20.621046675425
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,no,no,yes,565860,1769MB,100,410.185,7.968,87.785,22.956959190665167
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,no,no,yes,565860,256MB,100,393.154,29.764,86.144,20.682949299229996
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,no,no,yes,565860,512MB,100,400.465,13.356,83.364,21.005999111995
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,no,no,yes,565860,5120MB,100,387.796,8.255,84.838,27.95775718215
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,yes,no,1538340,1024MB,100,290.362,7.345,83.572,21.715284697229997
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,yes,no,1538340,128MB,100,289.077,68.691,106.781,20.56556552279625
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,yes,no,1538340,1769MB,100,289.198,6.993,84.392,22.831194095385477
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,yes,no,1538340,256MB,100,289.866,27.809,87.901,20.682125964249995
AwsSdk,AwsSdk-Core31-x64-NoTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,yes,no,1538340,512MB,100,287.237,10.714,85.776,21.00408160816
