Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,no,no,47106,256MB,100,166.076,927.684,664.499,25.507304869724997
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,no,no,47106,512MB,100,167.256,418.135,266.771,24.76606416354
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,no,no,47106,5120MB,100,159.534,113.879,184.956,40.122432945
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,no,yes,47106,1024MB,100,222.166,158.92,201.991,25.012158727339997
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,no,yes,47106,128MB,100,219.337,1710.009,2435.244,27.1087893771075
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,no,yes,47106,1769MB,100,221.966,94.934,198.166,26.95123798518781
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,no,yes,47106,256MB,100,221.312,754.545,697.112,25.038881860954998
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,no,yes,47106,512MB,100,220.999,329.668,270.802,24.20315068232
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,no,yes,47106,5120MB,100,211.821,92.921,190.252,39.0782677242
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,yes,no,53279,1024MB,100,167.56,195.178,201.586,25.49020778424
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,yes,no,53279,128MB,100,166.123,2053.293,2167.526,27.234734006827498
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,yes,no,53279,1769MB,100,167.672,113.516,197.945,27.374180819943497
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,yes,no,53279,256MB,100,165.961,922.3,699.987,25.607649371445
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,yes,no,53279,512MB,100,168.721,413.856,275.93,24.798598992880002
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,yes,no,53279,5120MB,100,160.127,112.002,188.078,40.205386693099996
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,yes,yes,53279,1024MB,100,218.168,155.885,200.7,24.954489105660002
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,yes,yes,53279,128MB,100,218.086,1675.217,2306.996,26.837054018437495
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,yes,yes,53279,1769MB,100,218.445,92.36,197.946,26.886885681657073
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,yes,yes,53279,256MB,100,218.899,751.051,704.366,25.051414590285
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,yes,yes,53279,512MB,100,219.427,332.632,273.128,24.238423525349997
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,yes,yes,53279,5120MB,100,208.544,92.304,187.711,38.8677466716
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,no,no,47099,1024MB,100,174.907,141.253,178.972,25.537097340840003
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,no,no,47099,128MB,100,174.151,1317.852,354.283,23.68362217556375
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,no,no,47099,1769MB,100,176.297,88.519,180.741,27.95262633367218
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,no,no,47099,256MB,100,174.9,649.025,201.467,23.7437241707675
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,no,no,47099,512MB,100,174.465,302.432,178.471,24.20753468172
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,no,no,47099,5120MB,100,166.893,85.563,178.773,42.22800238925
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,no,yes,47099,1024MB,100,248.617,111.682,175.949,24.993862921039998
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,no,no,yes,47099,128MB,100,248.621,1028.698,308.975,22.98682369863625
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,no,no,yes,47099,1769MB,100,250.663,70.421,179.305,27.39022198783709
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,no,no,yes,47099,256MB,100,252.614,505.082,200.774,23.141070882130006
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,no,no,yes,47099,512MB,100,251.164,235.376,178.59,23.64972189943
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,no,no,yes,47099,5120MB,100,246.616,68.814,188.8,41.667876269
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,yes,no,54455,1024MB,100,176.624,137.437,180.435,25.497872262390004
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,yes,no,54455,128MB,100,172.262,1267.035,318.564,23.50333639832625
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,yes,no,54455,1769MB,100,173.499,84.665,181.514,27.863902629206894
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,yes,no,54455,256MB,100,173.395,624.066,203.064,23.64638022608
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,yes,no,54455,512MB,100,173.372,290.172,174.794,24.074726916105
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,yes,no,54455,5120MB,100,169.149,83.492,183.809,42.47508621674999
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,yes,yes,54455,1024MB,100,245.541,108.799,179.255,25.000907935129998
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,no,yes,yes,54455,128MB,100,243.921,1006.5,325.022,22.974007631337496
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,no,yes,yes,54455,1769MB,100,247.136,68.842,180.144,27.368895475457588
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,no,yes,yes,54455,256MB,100,247.844,492.821,207.198,23.11675083349
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,no,yes,yes,54455,512MB,100,246.985,229.935,177.919,23.598791797569998
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,no,yes,yes,54455,5120MB,100,238.417,67.702,182.006,41.0089916179
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,yes,no,no,47099,1024MB,100,163.93,136.38,206.604,25.91642143282
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,yes,no,no,47099,128MB,100,160.916,1368.929,1766.454,26.73206139743
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,yes,no,no,47099,1769MB,100,163.654,83.564,203.309,28.459772352845
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,yes,no,no,47099,256MB,100,163.472,628.94,568.069,25.187549975080003
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,yes,no,no,47099,512MB,100,166.6,290.789,252.631,24.728503223655
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,yes,no,no,47099,5120MB,100,158.688,82.548,197.108,43.50472160935
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,yes,no,yes,47099,1024MB,100,241.207,106.731,204.429,25.386010371999998
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,yes,no,yes,47099,128MB,100,233.984,1123.243,1763.671,26.21441515380625
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,yes,no,yes,47099,1769MB,100,235.579,66.385,201.84,27.922820466768894
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,yes,no,yes,47099,256MB,100,235.036,489.936,538.768,24.486275239199998
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,yes,no,yes,47099,512MB,100,237.463,224.403,251.214,24.163477093605
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,yes,no,yes,47099,5120MB,100,232.27,64.962,203.552,42.576144752199994
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,yes,yes,no,54455,1024MB,100,162.506,131.442,200.255,25.728294389899997
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,yes,yes,no,54455,128MB,100,161.401,1354.373,1771.519,26.71228948288625
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,yes,yes,no,54455,1769MB,100,164.754,82.567,204.071,28.45296871456327
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,yes,yes,no,54455,256MB,100,164.351,615.234,559.918,25.096477709602503
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,yes,yes,no,54455,512MB,100,165.185,279.596,242.227,24.548537030389998
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,yes,yes,no,54455,5120MB,100,157.416,80.231,194.1,43.061004055249995
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,yes,yes,yes,54455,1024MB,100,238.958,106.726,205.45,25.402950405880002
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,yes,yes,yes,54455,128MB,100,236.604,1141.829,1741.286,26.206502429647497
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,yes,yes,yes,54455,1769MB,100,236.623,66.401,199.944,27.868728231305997
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,yes,yes,yes,54455,256MB,100,236.52,489.415,562.97,24.5849475198775
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,yes,yes,yes,54455,512MB,100,237.081,224.529,254.08,24.188416310149996
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,yes,yes,yes,54455,5120MB,100,234.837,65.354,205.372,42.76052012095
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,no,no,no,48298,1024MB,100,281.162,271.794,206.475,26.57695588462
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,no,no,no,48298,128MB,100,279.719,2408.339,918.978,25.7455558943075
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,no,no,no,48298,1769MB,100,280.062,157.228,206.307,28.573660952730837
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,no,no,no,48298,256MB,100,279.277,1204.203,359.917,25.413756401984998
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,no,no,no,48298,512MB,100,281.112,573.162,218.696,25.47908172861001
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,no,no,no,48298,5120MB,100,243.623,148.625,216.954,44.5720151928
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnet6,arm64,no,no,yes,48298,1024MB,100,333.408,215.044,204.53,25.79434263824
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnet6,arm64,no,no,yes,48298,128MB,100,335.755,1960.425,907.732,24.980285067972503
