Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,no,no,17801,5120MB,100,148.177,7.453,85.187,26.3759908798
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,no,yes,17801,1024MB,100,178.971,6.043,88.754,21.46396365312
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,no,yes,17801,128MB,100,179.165,48.814,468.569,21.062308978189996
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,no,yes,17801,1769MB,100,180.452,5.93,89.989,22.40938839454299
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,no,yes,17801,256MB,100,179.197,18.797,148.381,20.7572627863
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,no,yes,17801,512MB,100,180.189,6.16,95.109,20.87512870896
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,no,yes,17801,5120MB,100,171.467,6.204,84.275,26.231996826499994
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,yes,no,14174,1024MB,100,155.345,7.196,91.209,21.51207189366
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,yes,no,14174,128MB,100,153.882,57.229,466.777,21.073347866717498
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,yes,no,14174,1769MB,100,153.369,6.738,89.063,22.40667499295521
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,yes,no,14174,256MB,100,154.725,22.271,147.585,20.766190497605
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,yes,no,14174,512MB,100,155.829,8.407,94.514,20.88614676405
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,yes,no,14174,5120MB,100,146.471,7.258,84.517,26.318357258299997
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,yes,yes,14174,1024MB,100,178.265,5.891,89.031,21.465626328099997
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,yes,yes,14174,128MB,100,176.797,47.727,476.329,21.073432033805002
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,yes,yes,14174,1769MB,100,178.928,5.723,89.477,22.392838487575116
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,yes,yes,14174,256MB,100,177.748,15.602,146.667,20.740899371149997
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,yes,yes,14174,512MB,100,177.648,5.836,95.225,20.87374203536
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,yes,yes,14174,5120MB,100,171.192,6.306,84.998,26.286957101299997
Minimal,Minimal-Core31-x64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,no,no,17807,1024MB,100,155.386,8.712,77.199,21.63184619702
Minimal,Minimal-Core31-x64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,no,no,17807,128MB,100,156.945,95.139,105.604,20.61821583643
Minimal,Minimal-Core31-x64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,no,no,17807,1769MB,100,157.587,8.674,78.063,22.697344101123523
Minimal,Minimal-Core31-x64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,no,no,17807,256MB,100,157.268,34.751,81.395,20.6839405512125
Minimal,Minimal-Core31-x64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,no,no,17807,512MB,100,157.018,14.573,77.613,20.968219869769996
Minimal,Minimal-Core31-x64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,no,no,17807,5120MB,100,153.083,9.818,80.214,27.70270667205
Minimal,Minimal-Core31-x64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,no,yes,17807,1024MB,100,201.79,7.421,81.328,21.67914629162
