Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,no,no,787433,128MB,121,382.044,6392.157,4102.944,37.69192175669215
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,no,no,787433,1769MB,100,383.264,334.339,223.532,33.04998120401188
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,no,no,787433,256MB,100,383.083,2806.931,1111.62,33.26190064251
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,no,no,787433,512MB,100,384.633,1308.683,365.046,31.35824445761
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,no,no,787433,5120MB,100,366.13,332.144,205.002,56.009892381899995
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,no,yes,787433,1024MB,100,512.65,383.357,226.746,28.33475534024
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,no,yes,787433,128MB,135,514.897,4768.548,4117.285,35.00979577700371
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,no,yes,787433,1769MB,100,513.87,220.474,221.969,30.39121388810633
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,no,yes,787433,256MB,100,513.973,2056.553,1176.078,30.97549121052
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,no,yes,787433,512MB,100,513.363,892.779,335.955,28.391602957809997
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,no,yes,787433,5120MB,100,493.792,217.593,206.217,48.454161270099995
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,yes,no,2177385,1024MB,100,331.39,400.791,229.667,28.60615136388
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,yes,no,2177385,128MB,136,328.274,4848.401,4182.603,35.25174866522978
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,yes,no,2177385,1769MB,100,330.215,227.034,222.861,30.56287684797934
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,yes,no,2177385,256MB,100,328.866,2074.889,1186.366,31.070902687574996
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,yes,no,2177385,512MB,100,328.968,973.815,378.196,29.213454400379998
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,yes,no,2177385,5120MB,100,312.802,226.115,206.045,49.0107573864
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,yes,yes,2177385,1024MB,100,392.613,317.161,228.045,27.469445680379998
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,yes,yes,2177385,128MB,144,390.525,4040.785,4097.603,33.7640487226823
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,yes,yes,2177385,1769MB,100,392.053,180.637,222.02,29.47478899090058
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,yes,yes,2177385,256MB,100,393.554,1716.233,1184.988,29.870787353694997
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,yes,yes,2177385,512MB,100,392.301,716.223,331.872,27.187333603160003
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,yes,yes,2177385,5120MB,100,375.602,180.343,205.923,45.951155421799996
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,no,no,787425,1024MB,100,386.767,468.159,197.226,31.28977551284
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,no,no,787425,128MB,100,383.364,4062.135,503.772,29.71232464961123
